#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.500    -98.068    -22.356    -66.522     30.558    216.615    151.802
      1.000    -38.588     70.409     23.666    207.362    154.445    208.952
      1.500     61.862    121.053    109.504    194.438     48.130    134.399
      2.000    151.847    136.403    167.304    165.502     13.270     96.801
      2.500    229.026    139.009    210.171    143.215     -2.846     74.666
      3.000    296.288    135.317    243.743    125.833    -11.922     59.622
      3.500    355.666    127.927    270.757    111.676    -17.639     48.434
      4.000    408.513    118.144    292.765     99.712    -21.491     39.601
      4.500    455.768    106.722    310.747     89.308    -24.198     32.327
      5.000    498.107     94.135    325.366     80.051    -26.147     26.147
      5.500    536.036     80.707    337.094     71.663    -27.566     20.768
      6.000    569.938     66.667    346.285     63.946    -28.594     15.995
      6.500    600.114     52.188    353.207     56.757    -29.324     11.693
      7.000    626.799     37.402    358.071     49.985    -29.819      7.763
      7.500    650.182     22.417    361.045     43.545    -30.120      4.133
      8.000    670.410      7.322    362.265     37.368    -30.259      0.747
      8.500    687.601     -7.807    361.842     31.397    -30.257     -2.440
      9.000    701.846    -22.903    359.867     25.584    -30.129     -5.462
      9.500    713.214    -37.906    356.414     19.887    -29.884     -8.348
     10.000    721.752    -52.760    351.546     14.268    -29.529    -11.123
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
