#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.100   -101.060   -102.171   -117.983    -20.762    182.452    102.704
      0.200   -102.652    -83.486   -107.176    -11.093    191.264    113.436
      0.300   -103.144    -63.917    -95.222      1.266    200.116    125.650
      0.400   -102.217    -43.486    -81.962     17.277    208.490    139.546
      0.500    -99.441    -22.296    -67.227     38.233    215.326    155.164
      0.600    -94.248     -0.601    -50.867     65.636    218.565    172.039
      0.700    -85.943     21.058    -32.842    100.451    214.613    188.462
      0.800    -73.876     41.725    -13.392    140.905    198.721    200.521
      0.900    -57.842     60.095      6.779    179.757    168.688    202.901
      1.000    -38.501     75.049     26.575    207.063    130.386    193.033
      1.100    -17.154     86.228     45.038    219.894     93.203    176.210
      1.200      4.941     93.998     61.730    221.995     62.203    157.632
      1.300     26.940     99.006     76.617    217.989     37.952    140.105
      1.400     48.389    101.868     89.849    210.991     19.290    124.540
      1.500     69.075    103.076    101.626    202.725      4.868    110.994
      1.600     88.915    102.999    112.137    194.078     -6.410     99.242
      1.700    107.893    101.911    121.550    185.488    -15.353     89.002
      1.800    126.026    100.016    130.001    177.163    -22.540     80.016
      1.900    143.343     97.470    137.605    169.189    -28.386     72.068
      2.000    159.882     94.391    144.457    161.595    -33.191     64.983
      2.100    175.681     90.873    150.637    154.377    -37.176     58.617
      2.200    190.776     86.989    156.211    147.519    -40.505     52.859
      2.300    205.202     82.799    161.235    140.997    -43.301     47.616
      2.400    218.991     78.350    165.756    134.784    -45.662     42.815
      2.500    232.173     73.684    169.817    128.854    -47.660     38.394
      2.600    244.775     68.834    173.452    123.185    -49.354     34.304
      2.700    256.821     63.826    176.692    117.752    -50.791     30.503
      2.800    268.336     58.686    179.565    112.535    -52.008     26.957
      2.900    279.338     53.434    182.095    107.516    -53.035     23.635
      3.000    289.848     48.088    184.302    102.677    -53.898     20.513
      3.100    299.882     42.662    186.206     98.002    -54.618     17.570
      3.200    309.456     37.170    187.824     93.478    -55.211     14.787
      3.300    318.584     31.625    189.171     89.092    -55.691     12.149
      3.400    327.281     26.037    190.261     84.833    -56.071      9.642
      3.500    335.557     20.416    191.105     80.690    -56.362      7.254
      3.600    343.424     14.769    191.717     76.654    -56.571      4.974
      3.700    350.892      9.105    192.105     72.716    -56.706      2.793
      3.800    357.972      3.431    192.280     68.868    -56.774      0.702
      3.900    364.670     -2.247    192.250     65.104    -56.780     -1.305
      4.000    370.996     -7.922    192.023     61.415    -56.729     -3.235
      4.100    376.957    -13.590    191.606     57.797    -56.625     -5.094
      4.200    382.559    -19.245    191.007     54.244    -56.472     -6.888
      4.300    387.809    -24.882    190.232     50.750    -56.272     -8.620
      4.400    392.712    -30.497    189.286     47.310    -56.027    -10.296
      4.500    397.273    -36.085    188.175     43.920    -55.742    -11.919
      4.600    401.498    -41.643    186.905     40.575    -55.416    -13.493
      4.700    405.390    -47.167    185.479     37.272    -55.053    -15.020
      4.800    408.954    -52.652    183.903     34.006    -54.652    -16.504
      4.900    412.193    -58.095    182.180     30.774    -54.217    -17.948
      5.000    415.111    -63.493    180.315     27.573    -53.746    -19.354
      5.100    417.709    -68.843    178.311     24.398    -53.242    -20.724
      5.200    419.991    -74.140    176.172     21.247    -52.704    -22.060
      5.300    421.960    -79.382    173.901     18.118    -52.133    -23.364
      5.400    423.616    -84.565    171.501     15.005    -51.530    -24.638
      5.500    424.961    -89.686    168.975     11.908    -50.894    -25.883
      5.600    425.998    -94.742    166.326      8.823    -50.225    -27.101
      5.700    426.727    -99.730    163.556      5.747    -49.524    -28.294
      5.800    427.148   -104.645    160.668      2.678    -48.789    -29.462
      5.900    427.262   -109.486    157.665     -0.387    -48.021    -30.606
      6.000    427.071   -114.248    154.548     -3.451    -47.218    -31.728
      6.100    426.572   -118.928    151.320     -6.516    -46.381    -32.829
      6.200    425.767   -123.522    147.983     -9.585    -45.508    -33.910
      6.300    424.655   -128.027    144.539    -12.661    -44.598    -34.970
      6.400    423.234   -132.440    140.990    -15.747    -43.650    -36.012
      6.500    421.505   -136.755    137.338    -18.845    -42.663    -37.036
      6.600    419.465   -140.970    133.584    -21.958    -41.635    -38.041
      6.700    417.112   -145.080    129.730    -25.088    -40.565    -39.029
      6.800    414.446   -149.081    125.779    -28.240    -39.450    -40.000
      6.900    411.463   -152.968    121.731    -31.416    -38.288    -40.955
      7.000    408.161   -156.736    117.589    -34.619    -37.078    -41.893
      7.100    404.538   -160.381    113.353    -37.853    -35.816    -42.815
      7.200    400.589   -163.897    109.026    -41.121    -34.500    -43.720
      7.300    396.312   -167.278    104.610    -44.426    -33.126    -44.610
      7.400    391.702   -170.519    100.105    -47.773    -31.691    -45.482
      7.500    386.755   -173.613     95.514    -51.166    -30.192    -46.338
      7.600    381.466   -176.554     90.839    -54.609    -28.622    -47.177
      7.700    375.830   -179.334     86.080    -58.107    -26.979    -47.997
      7.800    369.842   -181.945     81.240    -61.664    -25.255    -48.799
      7.900    363.494   -184.381     76.321    -65.286    -23.446    -49.581
      8.000    356.781   -186.630     71.325    -68.979    -21.543    -50.342
      8.100    349.695   -188.684     66.254    -72.749    -19.541    -51.080
      8.200    342.227   -190.533     61.110    -76.602    -17.429    -51.793
      8.300    334.370   -192.164     55.897    -80.547    -15.198    -52.480
      8.400    326.113   -193.566     50.616    -84.590    -12.836    -53.137
      8.500    317.446   -194.724     45.271    -88.741    -10.332    -53.760
      8.600    308.359   -195.624     39.866    -93.009     -7.670    -54.346
      8.700    298.838   -196.249     34.404    -97.404     -4.833    -54.889
